[INFO] [474.290] - Start new burst interval
[INFO] [474.290] - IMU file name: /home/pi/microSWIFT/data/006_Imu_21Sep2020_13:00:00UTC_burst_12.dat
[INFO] [474.290] - IMU ON
[INFO] [591.507] - Num of samples: 419, Wanted samples: 2048
[INFO] [591.796] - Num of samples: 420, Wanted samples: 2048
[INFO] [592.075] - Num of samples: 421, Wanted samples: 2048
[INFO] [592.347] - Num of samples: 422, Wanted samples: 2048
[INFO] [592.631] - Num of samples: 423, Wanted samples: 2048
[INFO] [592.905] - Num of samples: 424, Wanted samples: 2048
[INFO] [593.170] - Num of samples: 425, Wanted samples: 2048
[INFO] [593.447] - Num of samples: 426, Wanted samples: 2048
[INFO] [593.725] - Num of samples: 427, Wanted samples: 2048
[INFO] [594.002] - Num of samples: 428, Wanted samples: 2048
[INFO] [594.304] - Num of samples: 429, Wanted samples: 2048
[INFO] [594.575] - Num of samples: 430, Wanted samples: 2048
[INFO] [594.839] - Num of samples: 431, Wanted samples: 2048
[INFO] [595.105] - Num of samples: 432, Wanted samples: 2048
